Unnamed: 0,System,Author(s),Publication date,Year,Reference,Citations,Peer reviewed?,Link,Parameters,Hardware,Training Compute,Epoch,Epoch (pretrain),Epoch (finetune),uncertain,Pretrain Dataset Size,Inferred_compute (6ND),Finetune Dataset Size,Dataset Size,Dataset(s),Perplexity (WT103),Perplexity (WT2),Perplexity (PTB),Zero-shot?,Include?,Uses Cache,Outlier?,Architecture,Base Model,GitHub,Organizations,Organization Categorization,Comments,Complete row,Tokenizer,Vocabulary,algorithmic,optimizer_quality,architecture_quality,attention_mechanism,training_efficiency,activation_functions,normalization_techniques,learning_paradigm,regularization_techniques,special_algorithms,overall_algorithm_quality
385,Transformer-XL+WN+AdamP,"Byeongho Heo, Sanghyuk Chun, Seong Joon Oh, Dongyoon Han, Sangdoo Yun, Gyuwan Kim, Youngjung Uh, Jung-Woo Ha",2020/06/15,2020,AdamP: Slowing Down the Slowdown for Momentum Optimizers on Scale-invariant Weights,114.0,,https://arxiv.org/pdf/2006.08217,2.57E+08,,,UNK,,,0.0,103000000.0,#VALUE!,,103000000.0,,22.77,,,0.0,1.0,0,0,Transformer,Transformer-XL,https://github.com/clovaai/adamp,,,,1,Word-level,267735,"Architecture: Transformer-XL (with or without weight normalization); Optimizer: AdamW, AdamP, SGD, SGDP; LR Schedule: cosine annealing, step decay, and various learning rates as determined by experimentation.; Training: Weight Normalization (WN) (applied artificially), Gradient clipping threshold (v) introduced in the Grassmann optimizers, Experiments also included data augmentation, stochastic depth, and dropout.; Regularization: Weight decay; Special Algorithms: AdamP and SGDP : Algorithms to project out the radial component from the update to prevent premature decay of effective step sizes.; Initialization: ImageNet-pretrained ResNet models.; Other: Loss Function : Triplet and ProxyAnchor losses in retrieval tasks., cosine similarity is used to detect scale invariances for user convenience.",,,,,,,,,,
386,SPN-4+KN5,"W. Cheng, Stanley Kok, Hoai Vu Pham, Hai Leong Chieu, K. M. A. Chai",2014/01/01,2014,Language modeling with sum-product networks,102.0,,https://spn.cs.washington.edu/papers/is14.pdf,5.00E+06,,4.4e+16,UNK,,,0.0,1010000.0,#VALUE!,,1010000.0,Penn TreeBank,,,80.6,0.0,0.0,0,0,,,https://github.com/stakok/lmspn,,,,1,,,,,,,,,,,,,
387,3-Layer-Tensor-Transformer+AdaHessian,"Zhewei Yao, Amir Gholami, Sheng Shen, Mustafa Mustafa, Kurt Keutzer, Michael W. Mahoney",2020/06/01,2020,ADAHESSIAN: An Adaptive Second Order Optimizer for Machine Learning,151.0,,https://arxiv.org/pdf/2006.00719,1.20E+07,,,30,,,1.0,929000.0,2.01E+15,0.0,929000.0,,,,51.5,0.0,1.0,0,0,Transformer,Tensorized Transformer,https://github.com/amirgholami/ADAHESSIAN.git,University of Massachusetts Amherst,Academia,,1,?,?,"Architecture: Transformer; Optimizer: ADAHESSIAN, a second-order stochastic optimization algorithm; LR Schedule: Same learning rate schedule as Adam/AdamW; Attention: Multi-linear attention mechanism with masking; Regularization: Weight decay (same as Adam/AdamW), Label smoothing (epsilon = 0.1); Special Algorithms: Fast Hutchinson-based method to approximate the curvature matrix, Root-mean-square exponential moving average to smooth out variations of the Hessian diagonal, Block diagonal averaging to reduce the variance of Hessian diagonal elements",,,,,,,,,,
388,6-Layer-Tensor-Transformer+AdaHessian,"Zhewei Yao, Amir Gholami, Sheng Shen, Mustafa Mustafa, Kurt Keutzer, Michael W. Mahoney",2020/06/01,2020,ADAHESSIAN: An Adaptive Second Order Optimizer for Machine Learning,151.0,,https://arxiv.org/pdf/2006.00719,8.53E+07,,,30,,,1.0,103000000.0,1.58E+18,0.0,103000000.0,,19.9,,,0.0,1.0,0,0,Transformer,Tensorized Transformer,https://github.com/amirgholami/ADAHESSIAN.git,University of Massachusetts Amherst,Academia,,1,?,?,"Architecture: Transformer; Optimizer: AdaHessian; LR Schedule: Same learning rate schedule, weight decay, warmup schedule, dropout, batch size, and first/second order moment coefficients as the default first-order baseline optimizers. Also step decay schedule and plateau based schedule used.; Training: Hutchinson's method to approximate the Hessian diagonal, Root-mean-square exponential moving average to smooth out variations of the Hessian diagonal across different iterations, Block diagonal averaging to reduce the variance of Hessian diagonal elements, Spatial averaging of the Hessian diagonal, Hessian Momentum; Attention: Multi-linear attention mechanism with masking (in language modeling tasks); Regularization: Weight decay (same as AdamW); Special Algorithms: AdaHessian: An Adaptive Second Order Optimizer for Machine Learning, which approximates the curvature of the loss function via adaptive estimates of the Hessian.; Initialization: Not mentioned; Other: Hessian Power",,,,,,,,,,
389,"Variational (untied weights, MC) LSTM (Large)","Yarin Gal, Zoubin Ghahramani",2015/12/16,2015,A Theoretically Grounded Application of Dropout in Recurrent Neural Networks,1838.0,,https://arxiv.org/abs/1512.05287?context=stat,6.60E+07,,,16,,,0.0,888000.0,5.62E+15,,888000.0,Penn TreeBank,,,73.4,0.0,1.0,0,0,Recurrent,RNN,https://github.com/yaringal/BayesianRNN,,,,1,?,?,"Architecture: LSTM, GRU, Simple RNN; Optimizer: Adam (mentioned in Section 5.2 for Sentiment Analysis, general method unstated); LR Schedule: Learning rate decay (used as a baseline/comparison, not necessarily the main method); Training: MC Dropout (Monte Carlo Dropout), Dropout, Variational Inference; Attention: N/A; Regularization: L2 Regularization, Weight decay, Dropout (variational dropout); Special Algorithms: Variational inference based dropout; Initialization: Normal prior distributions for weights (w = {W, Uh, bh, Wy, by }); Other: tied weights LSTM (tied-weights LSTM)",,,,,,,,,,
390,FAIRSEQ Adaptive Inputs,"Myle Ott, Sergey Edunov, Alexei Baevski, Angela Fan, Sam Gross, Nathan Ng, David Grangier, Michael Auli",2019/04/01,2019,"fairseq: A Fast, Extensible Toolkit for Sequence Modeling",2428.0,,https://arxiv.org/abs/1904.01038,2.47E+08,,7.3e+18,,,,0.0,103000000.0,0.00E+00,0.0,103000000.0,WikiText-103,18.7,,,0.0,0.0,0,0,Transformer,Transformer-XL,https://github.com/facebookresearch/fairseq,Amazon Web Services,Industry,,1,,,"Architecture: Transformer based language models, using only a decoder network. Some models had 16 blocks, inner dimension 4K and embedding dimension 1K. Other models had 24 blocks, inner dimension 8K and embedding dimension 1.5K.; Optimizer: Wrappers around most PyTorch optimizers and an implementation of Adafactor, which is a memory-efficient variant of Adam.; LR Schedule: Several popular schedulers, e.g., the inverse square-root scheduler from Vaswani et al. (2017) and cyclical schedulers based on warm restarts (Loshchilov and Hutter, 2016).; Training: Mixed precision training (FP16), Multi-GPU training, Gradient accumulation, Overlapping gradient synchronization; Attention: Multi-head attention in the Transformer architecture (used component-specific caching implementation for inference); Regularization: Dynamic loss scaling to avoid underflows for activations and gradients when using FP16; Other: Adaptive input embeddings",,,,,,,,,,
391,Tensorized Transformer (small),"Xindian Ma, Peng Zhang, Shuai Zhang, Nan Duan, Yuexian Hou, Ming Zhou, Dawei Song",2019/06/24,2019,A Tensorized Transformer for Language Modeling,126.0,,https://arxiv.org/abs/1906.09777,1.20E+07,,,30.00,,,0.0,929000.0,2.01E+15,,929000.0,WikiText-103,,,57.9,0.0,1.0,0,0,Transformer,Tensorized Transformer,,,,,1,Word-level,10000,"Architecture: Transformer with Multi-linear attention (a novel self-attention method with Block-Term Tensor Decomposition (BTD)) replacing the standard multi-head attention; Optimizer: Adam; LR Schedule: Vary the learning rate over the course of training. Formula is followed as described in Attention is All you Need.; Training: Label Smoothing (€=0.1), variational dropout and weight average; Attention: Multi-linear attention combines parameters sharing and low-rank approximation. It is constructed by a Block-Term tensor decomposition. The standard Multi-head attention can be compressed with higher compression ratios.; Regularization: dropout (0.3 in all datasets), weight average; Special Algorithms: Block-Term Tensor Decomposition; Initialization: Xavier initialization for weight matrices; Other: Multi-linear attention builds the strong connection between three factor matrices (queries, keys and values), Positional Encoding",,,,,,,,,,
392,Tensorized Transformer (large PTB),"Xindian Ma, Peng Zhang, Shuai Zhang, Nan Duan, Yuexian Hou, Ming Zhou, Dawei Song",2019/06/24,2019,A Tensorized Transformer for Language Modeling,126.0,,https://arxiv.org/abs/1906.09777,2.40E+07,,,30.00,,,0.0,929000.0,4.01E+15,,929000.0,WikiText-103,,,52.7,0.0,1.0,0,0,Transformer,Tensorized Transformer,,,,,1,Word-level,10000,"Architecture: Tensorized Transformer, which uses Multi-linear attention based on Block-Term Tensor Decomposition (BTD) to compress multi-head attention; Optimizer: Adam; LR Schedule: Vary the learning rate over the course of training using the formula described in Attention is All You Need paper.; Training: Label Smoothing (epsilon=0.1), dropout=0.3 (in all datasets, during training of the base models), variational dropout and weight average (similar to AWD-LSTM-MOS when applied to language modeling tasks on PTB dataset); Attention: Multi-linear attention based on Block-Term Tensor Decomposition (BTD). The Multi-linear attention combines two compression ideas, parameters sharing and low-rank approximation.; Special Algorithms: Multi-linear attention with Block-Term Tensor Decomposition; Initialization: Xavier Normal initialization is used for the parameters of the multi-linear attention mechanism (w_q, w_k, w_v); Other: Scaled Dot-Product Attention, Tensor Decomposition, Parameters Sharing, Low-Rank Approximation, The compression ratios are computed as formulas.",,,,,,,,,,
393,TPM-LVD,"Anji Liu, Honghua Zhang, Guy Van den Broeck",2022/10/10,2022,Scaling up Probabilistic Circuits by Latent Variable Distillation,7.0,,https://arxiv.org/pdf/2210.04398.pdf,1.12E+09,,,,,,0.0,2080000.0,0.00E+00,,2080000.0,,,197.5,,0.0,0.0,0,0,,,,,,,1,,,"Architecture: Probabilistic Circuits (PCs), specifically Hidden Markov Models (HMM) and patch-based PCs; Optimizer: Expectation-Maximization algorithm (EM); LR Schedule: Linear annealing from 0.1 to 0.01 or 0.001 during training; Training: Mini-batch training, Latent variable distillation (LVD); Attention: Not applicable; Special Algorithms: Latent variable distillation (LVD) - using information from deep generative models (Transformer-based, BERT, Masked Autoencoders (MAEs)) to provide extra supervision to PC optimizers, K-means algorithm for clustering embeddings; Initialization: In some cases, pre-trained deep generative models are used to initialize parameters.; Other: Materializing Latent Variables, Inducing Latent Variable Assignments, PC Parameter Learning",,,,,,,,,,
394,Tensorized Transformer (257M),"Xindian Ma, Peng Zhang, Shuai Zhang, Nan Duan, Yuexian Hou, Ming Zhou, Dawei Song",2019/06/24,2019,A Tensorized Transformer for Language Modeling,126.0,,https://arxiv.org/abs/1906.09777,2.57E+08,,,30.00,,,0.0,103000000.0,4.76E+18,,103000000.0,WikiText-103,21.2,,,0.0,1.0,0,0,Transformer,Tensorized Transformer,,,,,1,Word-level,260000,"Architecture: Transformer with multi-linear attention using Block-Term Tensor Decomposition (BTD) to compress the multi-head attention mechanism; Optimizer: Adam; LR Schedule: The vary formula [37] is followed in our work. We also used the warmup_steps = 4000.; Training: Label Smoothing with value 0.1, Variational dropout, Weight average; Attention: Multi-linear attention with Block-Term Tensor Decomposition (BTD); Regularization: dropout 0.3 in all datasets(PTB, WikiText-103 and One-Billion); Special Algorithms: Multi-linear attention, Block-Term Tensor Decomposition; Initialization: xavier_normal_ for weight matrices (Wq, Wk, Wv); Other: Parameters sharing: sharing factor matrices across multiple blocks, Low-rank approximation",,,,,,,,,,
395,WD+LR+M,"Ross M. Clarke, Elre T. Oldewage, José Miguel Hernández-Lobato",2021/10/20,2021,Scalable One-Pass Optimisation of High-Dimensional Weight-Update Hyperparameters by Implicit Differentiation,5.0,,https://arxiv.org/pdf/2110.10461,UNK,,,72,,,1.0,929000.0,#VALUE!,,929000.0,,,,100.0,0.0,1.0,0,1,Recurrent,LSTM,https://github.com/rmclarke/OptimisingWeightUpdateHyperparameters,University of Edinburgh; Toyota Technological Institute at chicago,Industry - Academia Collaboration,,0,,,"Architecture: 2-layer, 650-unit LSTM with learnable embedding; Optimizer: SGD with momentum, Adam (for meta-learning); LR Schedule: Independent learning rates for each model parameter. Hyperparameters are tuned on the validation set. Hyperparameters are updated every T=10 batches.; Training: Gradient clipping to a Euclidean norm of 0.25, Weight updates prior to each hyperparameter update, Weight updates use Jacobian-vector products for memory efficiency, truncated back-propagation and momentum histories; Regularization: Weight decay; Special Algorithms: Approximate hypergradient-based hyperparameter optimiser for differentiable model weight updates, Scalable One-Pass Optimisation of High-Dimensional Weight-Update Hyperparameters by Implicit Differentiation; Initialization: learning rates, weight decays, and momenta are uniformly sampled using logarithmic and sigmoidal transforms (see Appendix B.3), applying each initialisation; Other: Look-back distance (i) is a predefined value to trade off accuracy and computational efficiency",,,,,,,,,,
396,Tensorized Transformer (core-2),"Xindian Ma, Peng Zhang, Shuai Zhang, Nan Duan, Yuexian Hou, Ming Zhou, Dawei Song",2019/06/24,2019,A Tensorized Transformer for Language Modeling,126.0,,https://arxiv.org/abs/1906.09777,8.53E+07,,,30.00,,,0.0,103000000.0,1.58E+18,,103000000.0,WikiText-103,18.9,,,0.0,1.0,0,0,Transformer,Tensorized Transformer,,,,,1,Word-level,260000,"Architecture: Transformer with a modified multi-head attention mechanism called Multi-linear attention based on Block-Term Tensor Decomposition (BTD).  The original multi-head attention is replaced by the proposed multi-linear attention in the encoder.; Optimizer: Adam; LR Schedule: Vary the learning rate during training, and use the formula from 'Attention is all you need' (Vaswani et al., 2017). Also use warmup_steps = 4000.; Training: Label Smoothing (epsilon=0.1), dropout=0.3 in all datasets., variational dropout and weight average to the model, similar to AWD-LSTM-MOS; Attention: Multi-linear attention, which is constructed using Block-Term Tensor Decomposition and parameter sharing to compress the original multi-head attention. Each Linear function in multi-head attention is about a weight matrix W ∈ Rdmodel×d. The number of heads is h in the experiments the value 2 is used.; Regularization: dropout=0.3; Special Algorithms: Multi-linear attention, Block-Term Tensor Decomposition (BTD); Initialization: weight matrices  Wq,Wk,Wv are initialized as xavier_normal; Other: Self-attention (i.e., scaled dot-product attention) in Transformer can be reconstructed.  However, the authors do not consider reconstructing it and choose to split the 3-order tensor (the output of Multi-linear attention).",,,,,,,,,,
397,Tensorized Transformer (151M),"Xindian Ma, Peng Zhang, Shuai Zhang, Nan Duan, Yuexian Hou, Ming Zhou, Dawei Song",2019/06/24,2019,A Tensorized Transformer for Language Modeling,126.0,,https://arxiv.org/abs/1906.09777,1.51E+08,,,30.00,,,0.0,103000000.0,2.80E+18,,103000000.0,WikiText-103,18.8,,,0.0,1.0,0,0,Transformer,Tensorized Transformer,,,,,1,Word-level,260000,"Architecture: Transformer with multi-linear attention based on Block-Term Tensor Decomposition (BTD); Optimizer: Adam; LR Schedule: Varying learning rate over course of training, following formula in Attention is All You Need. Warmup steps = 4000.; Training: Label Smoothing (epsilon=0.1), Variational dropout, Weight average; Attention: Multi-linear attention: combination of CP decomposition and Tucker decomposition for self-attention, parameters sharing, low-rank approximation. Replaces multi-head attention in Transformer.; Regularization: dropout = 0.3 (used in all datasets); Special Algorithms: Block-Term Tensor Decomposition (BTD), Tucker decomposition; Initialization: xavier_normal_ for weight matrices Wq, Wk, and Wv; Other: Splitting and concatenating after tensor splitting",,,,,,,,,,
